Incident_ID,Incident_Type,Area,Time_of_Day,Day_of_Week,Weather,Crowd_Level,CCTV_Available,Police_Response_Time,Ambulance_Response_Time,Fire_Response_Time,Number_of_People,Severity_Score,Previous_Incidents,Emergency_Level
1628,Theft,South,Night,Monday,Cloudy,Medium,Yes,8.0,18,12,35,1,8,Medium
1629,Accident,North,Morning,Tuesday,Rainy,High,No,4.0,10,5,46,2,13,High
1630,Medical,Central,Evening,Saturday,Cloudy,Low,Yes,5.0,19,5,460,3,3,Medium
1631,Fire,North,Night,Wednesday,Cloudy,High,Yes,11.0,14,12,476,9,12,High
1632,Medical,South,Morning,Sunday,Sunny,Medium,Yes,14.0,19,4,226,10,16,High
1633,Fire,South,Night,Friday,Sunny,Medium,No,18.0,26,9,243,7,10,High
1634,Medical,West,Evening,Sunday,Sunny,High,No,24.0,7,14,392,2,20,High
1635,Medical,West,Morning,Wednesday,Sunny,High,No,7.0,19,29,463,9,16,High
1636,Medical,West,Morning,Wednesday,Rainy,Low,No,11.0,30,9,366,4,3,Medium
1637,Medical,Central,Afternoon,Wednesday,Cloudy,Medium,No,8.0,20,22,329,9,7,High
1638,Fire,East,Morning,Friday,Rainy,High,No,21.0,30,29,399,2,14,High
1639,Medical,West,Morning,Wednesday,Rainy,High,No,20.0,12,20,193,10,12,High
1640,Theft,West,Afternoon,Tuesday,Rainy,High,Yes,3.0,9,25,34,3,14,High
1641,Medical,Central,Afternoon,Wednesday,Cloudy,Medium,Yes,20.0,9,4,141,7,17,High
1642,Assault,South,Night,Friday,Cloudy,Low,No,7.0,13,29,22,10,13,High
1643,Fire,North,Afternoon,Wednesday,Cloudy,High,Yes,5.0,14,8,320,1,2,Low
1644,Assault,West,Morning,Wednesday,Sunny,Low,Yes,6.0,12,17,366,4,13,High
1645,Accident,North,Afternoon,Wednesday,Rainy,Medium,No,19.0,8,29,165,5,17,High
1646,Accident,North,Afternoon,Saturday,Rainy,Medium,Yes,22.0,8,31,135,3,3,Medium
1647,Theft,Central,Afternoon,Saturday,Rainy,High,Yes,5.0,20,34,214,10,12,High
1648,Theft,East,Morning,Thursday,Rainy,Medium,Yes,15.0,19,13,278,9,0,High
1649,Assault,East,Night,Friday,Cloudy,High,Yes,22.0,10,29,430,4,10,High
1650,Medical,West,Evening,Saturday,Sunny,Medium,No,20.0,19,23,203,10,19,High
1651,Theft,Central,Afternoon,Saturday,Cloudy,High,Yes,24.0,6,11,134,10,10,High
1652,Theft,East,Morning,Monday,Rainy,Low,No,14.0,12,28,433,1,15,High
1653,Fire,West,Evening,Tuesday,Rainy,High,Yes,20.0,29,29,117,1,19,High
1654,Medical,North,Night,Thursday,Sunny,Low,Yes,11.0,15,27,264,2,18,High
1655,Accident,Central,Evening,Tuesday,Sunny,Medium,No,21.0,14,12,336,10,20,High
1656,Assault,West,Night,Monday,Rainy,Medium,No,20.0,24,31,350,7,8,High
1657,Assault,West,Evening,Friday,Sunny,High,No,13.0,18,27,8,3,9,Medium
1658,Assault,South,Afternoon,Sunday,Rainy,Medium,No,10.0,11,5,394,5,10,High
1659,Accident,East,Morning,Monday,Rainy,High,No,23.0,10,30,402,7,4,High
1660,Assault,South,Afternoon,Monday,Sunny,Low,No,10.0,6,4,312,10,11,High
1661,Accident,West,Afternoon,Sunday,Rainy,High,Yes,16.0,20,34,494,3,14,High
1662,Theft,North,Evening,Sunday,Cloudy,Medium,No,5.0,10,21,15,7,3,High
1663,Medical,Central,Night,Thursday,Cloudy,Medium,Yes,3.0,8,34,4,1,17,High
1664,Assault,North,Evening,Thursday,Sunny,High,No,8.0,23,26,448,4,2,Medium
1665,Theft,South,Morning,Tuesday,Sunny,Low,No,23.0,30,31,437,5,5,High
1666,Accident,Central,Night,Sunday,Cloudy,Low,No,13.0,12,31,377,4,15,High
1667,Medical,South,Evening,Tuesday,Sunny,High,Yes,8.0,16,20,180,9,20,High
1668,Theft,North,Night,Wednesday,Rainy,High,No,14.0,30,21,167,9,8,High
1669,Fire,North,Morning,Tuesday,Sunny,Low,No,13.0,28,13,334,5,14,High
1670,Medical,North,Night,Thursday,Rainy,Low,Yes,22.0,29,35,395,5,17,High
1671,Assault,South,Morning,Tuesday,Cloudy,High,No,24.0,28,14,331,5,20,High
1672,Medical,North,Morning,Friday,Rainy,Low,Yes,18.0,16,4,420,3,2,Medium
1673,Medical,South,Evening,Saturday,Cloudy,High,Yes,9.0,6,28,169,5,20,High
1674,Theft,North,Morning,Friday,Sunny,High,No,13.0,12,23,320,5,7,High
1675,Assault,East,Afternoon,Wednesday,Rainy,Medium,No,12.0,21,8,243,8,16,High
1676,Medical,East,Morning,Thursday,Cloudy,High,Yes,4.0,22,17,135,5,13,High
1677,Fire,Central,Morning,Tuesday,Cloudy,Medium,No,6.0,5,24,361,8,17,High
1678,Medical,Central,Afternoon,Sunday,Cloudy,High,Yes,22.0,23,31,377,9,12,High
1679,Assault,North,Evening,Sunday,Rainy,High,Yes,21.0,27,12,162,5,15,High
1680,Medical,Central,Night,Saturday,Rainy,Low,No,4.0,30,9,193,5,7,High
1681,Medical,West,Afternoon,Friday,Sunny,Low,Yes,20.0,25,18,464,3,6,Medium
1682,Theft,West,Afternoon,Friday,Sunny,Low,Yes,23.0,26,35,500,3,3,Medium
1683,Theft,North,Morning,Tuesday,Sunny,Low,Yes,8.0,9,11,286,10,6,High
1684,Assault,North,Morning,Monday,Cloudy,High,No,15.0,19,31,33,1,16,High
1685,Fire,East,Night,Sunday,Sunny,Medium,Yes,20.0,7,22,63,7,0,Medium
1686,Theft,Central,Morning,Sunday,Rainy,Medium,No,12.0,15,19,460,4,17,High
1687,Assault,Central,Evening,Sunday,Cloudy,Low,Yes,9.0,15,23,329,9,4,High
1688,Fire,North,Evening,Sunday,Rainy,Medium,No,17.0,29,29,102,1,0,Low
1689,Assault,West,Night,Thursday,Rainy,Low,Yes,13.0,5,6,428,8,2,High
1690,Theft,North,Afternoon,Wednesday,Sunny,Medium,No,15.0,16,23,464,1,20,High
1691,Theft,Central,Morning,Wednesday,Cloudy,Low,No,21.0,13,34,205,2,19,High
1692,Assault,Central,Night,Tuesday,Rainy,High,No,12.0,22,13,281,7,6,High
1693,Assault,Central,Night,Sunday,Cloudy,Low,No,20.0,18,11,271,1,7,Medium
1694,Assault,North,Night,Thursday,Sunny,High,Yes,16.0,10,27,190,1,18,High
1695,Assault,Central,Afternoon,Thursday,Sunny,Medium,Yes,7.0,18,26,12,3,2,Low
1696,Theft,West,Evening,Wednesday,Cloudy,Medium,Yes,21.0,16,12,438,9,0,High
1697,Fire,West,Evening,Thursday,Cloudy,Low,Yes,12.0,27,9,250,8,14,High
1698,Theft,Central,Night,Tuesday,Rainy,Medium,Yes,20.0,9,21,278,2,20,High
1699,Assault,North,Evening,Saturday,Cloudy,Medium,No,18.0,15,8,73,3,19,High
1700,Accident,West,Morning,Wednesday,Rainy,High,Yes,14.0,26,22,54,3,17,High
1701,Assault,North,Morning,Saturday,Sunny,Low,No,7.0,9,27,433,1,18,High
1702,Assault,South,Afternoon,Sunday,Sunny,Medium,No,16.0,13,7,474,4,10,High
1703,Accident,North,Morning,Monday,Rainy,High,Yes,20.0,24,24,258,3,5,Medium
1704,Theft,South,Night,Monday,Rainy,High,No,25.0,19,19,353,3,8,Medium
1705,Medical,North,Morning,Monday,Cloudy,Medium,Yes,4.0,30,26,247,1,2,Low
1706,Accident,South,Night,Monday,Cloudy,Low,No,6.0,26,9,92,10,14,High
1707,Fire,North,Morning,Thursday,Sunny,Medium,No,4.0,23,12,485,4,14,High
1708,Medical,Central,Evening,Friday,Cloudy,Medium,No,11.0,27,9,3,1,15,Medium
1709,Assault,Central,Afternoon,Sunday,Rainy,Medium,Yes,7.0,30,33,416,4,20,High
1710,Assault,North,Afternoon,Thursday,Sunny,Medium,Yes,18.0,29,11,132,10,8,High
1711,Theft,South,Evening,Sunday,Cloudy,High,No,4.0,13,25,462,4,2,Medium
1712,Fire,East,Night,Wednesday,Cloudy,Low,No,5.0,19,22,351,4,5,High
1713,Medical,West,Morning,Saturday,Rainy,Medium,Yes,4.0,17,21,216,3,16,High
1714,Medical,Central,Afternoon,Friday,Rainy,Low,No,25.0,13,23,281,10,7,High
1715,Medical,North,Evening,Wednesday,Sunny,Medium,No,12.0,17,12,196,4,20,High
1716,Medical,East,Evening,Monday,Rainy,Medium,Yes,15.0,16,32,361,5,1,Medium
1717,Medical,East,Evening,Monday,Sunny,Medium,No,3.0,24,6,290,4,5,Medium
1718,Theft,North,Night,Sunday,Cloudy,Medium,Yes,6.0,12,10,342,1,19,High
1719,Assault,West,Morning,Saturday,Cloudy,Low,Yes,7.0,15,22,352,10,0,High
1720,Accident,North,Afternoon,Monday,Sunny,High,Yes,14.0,12,24,208,1,19,High
1721,Theft,South,Night,Sunday,,,Yes,,16,7,225,3,10,High
1722,Accident,Central,Evening,Thursday,Cloudy,High,No,9.0,28,15,57,6,10,High
1723,Assault,South,Afternoon,Thursday,Cloudy,High,Yes,4.0,20,10,225,1,9,Medium
1724,Fire,North,Morning,Monday,Rainy,Medium,Yes,24.0,16,5,363,6,18,High
1725,Theft,East,Evening,Tuesday,Sunny,Low,No,9.0,27,11,396,5,0,Medium
1726,Theft,North,Evening,Saturday,Cloudy,Low,Yes,25.0,29,22,260,1,19,High
1727,Accident,South,Evening,Saturday,Cloudy,Medium,Yes,22.0,10,26,451,6,19,High
1728,Assault,West,Morning,Saturday,Sunny,Medium,No,5.0,6,7,186,1,12,Medium
1729,Assault,East,Morning,Sunday,Cloudy,Low,No,20.0,17,32,31,9,2,High
1730,Medical,East,Evening,Friday,Cloudy,Medium,Yes,25.0,11,16,137,9,4,High
1731,Fire,East,Evening,Monday,Sunny,Low,No,18.0,19,28,2,1,12,Medium
1732,Accident,South,Night,Tuesday,Rainy,Low,No,9.0,17,24,38,1,15,High
1733,Medical,South,Afternoon,Sunday,Sunny,Medium,No,21.0,6,15,131,9,5,High
1734,Assault,North,Evening,Tuesday,Sunny,High,No,4.0,23,6,36,2,0,Low
1735,Theft,West,Night,Thursday,Sunny,Low,Yes,3.0,9,11,130,9,7,High
1736,Accident,Central,Afternoon,Monday,Sunny,High,No,17.0,15,32,459,5,10,High
1737,Assault,South,Morning,Saturday,Sunny,Medium,No,4.0,12,19,86,5,12,High
1738,Assault,North,Afternoon,Monday,Rainy,Low,Yes,5.0,13,33,267,6,5,High
1739,Fire,South,Night,Saturday,Sunny,Low,Yes,10.0,27,4,432,6,5,High
1740,Theft,East,Morning,Thursday,Sunny,Low,No,6.0,21,35,181,2,16,High
1741,Medical,East,Night,Saturday,Rainy,Low,Yes,13.0,22,9,275,4,11,High
1742,Accident,South,Night,Friday,Cloudy,High,Yes,4.0,27,7,285,7,16,High
1743,Fire,Central,Evening,Wednesday,Rainy,Low,Yes,22.0,9,34,281,2,12,High
1744,Theft,South,Afternoon,Friday,Rainy,High,Yes,18.0,10,4,71,9,5,High
1745,Accident,East,Night,Wednesday,Cloudy,Low,Yes,4.0,13,9,70,4,4,Medium
1746,Medical,Central,Afternoon,Saturday,Sunny,High,Yes,5.0,18,27,383,9,3,High
1747,Accident,South,Afternoon,Sunday,Sunny,Low,No,23.0,11,7,66,1,1,Low
1748,Accident,South,Morning,Sunday,Sunny,High,Yes,25.0,8,19,184,8,4,High
1749,Fire,North,Morning,Wednesday,Cloudy,High,Yes,16.0,13,29,172,7,1,Medium
1750,Medical,Central,Afternoon,Tuesday,Sunny,High,Yes,14.0,17,10,234,8,14,High
1751,Assault,East,Night,Sunday,Cloudy,Low,Yes,16.0,26,8,307,3,2,Medium
1752,Accident,South,Evening,Monday,Cloudy,Medium,No,9.0,8,5,384,10,16,High
1753,Theft,West,Night,Monday,Cloudy,Low,No,5.0,30,16,78,3,18,High
1754,Theft,West,Afternoon,Saturday,Rainy,Low,Yes,16.0,17,33,286,7,11,High
1755,Accident,Central,Evening,Sunday,Rainy,Medium,Yes,14.0,16,7,263,10,12,High
1756,Medical,South,Afternoon,Friday,,,Yes,,11,23,495,8,13,High
1757,Fire,South,Afternoon,Thursday,Sunny,Medium,Yes,15.0,10,33,332,5,19,High
1758,Fire,East,Evening,Wednesday,Cloudy,Low,Yes,11.0,11,30,152,2,4,Medium
1759,Medical,Central,Morning,Saturday,Cloudy,Medium,Yes,23.0,6,35,436,9,16,High
1760,Accident,South,Afternoon,Friday,Rainy,Low,Yes,25.0,7,28,371,4,9,High
1761,Accident,Central,Afternoon,Tuesday,Sunny,Medium,Yes,8.0,16,7,485,5,14,High
1762,Medical,West,Night,Monday,Rainy,High,No,5.0,7,27,415,1,7,Medium
1763,Assault,East,Night,Thursday,Cloudy,High,No,15.0,27,21,443,6,14,High
1764,Accident,Central,Night,Sunday,Rainy,Medium,No,14.0,12,31,485,6,6,High
1765,Assault,South,Evening,Tuesday,,,No,,30,8,398,10,16,High
1766,Medical,East,Evening,Friday,Sunny,Medium,Yes,20.0,27,4,190,5,0,Medium
1767,Medical,West,Night,Wednesday,Rainy,Low,Yes,13.0,30,27,306,7,4,High
1768,Accident,Central,Morning,Wednesday,Sunny,Medium,Yes,11.0,9,19,7,4,14,High
1769,Fire,South,Night,Sunday,,,No,,22,16,27,5,8,Medium
1770,Fire,West,Afternoon,Monday,Cloudy,Low,Yes,17.0,23,30,110,5,1,Medium
1771,Fire,South,Morning,Monday,Rainy,High,No,18.0,21,26,331,9,3,High
1772,Fire,East,Evening,Saturday,Sunny,Medium,No,11.0,15,14,470,2,17,High
1773,Theft,West,Afternoon,Saturday,Sunny,High,Yes,24.0,20,7,137,5,20,High
1774,Assault,West,Afternoon,Friday,Rainy,Medium,No,7.0,12,32,211,9,10,High
1775,Accident,North,Morning,Sunday,Cloudy,High,No,17.0,5,11,97,7,6,High
1776,Accident,East,Morning,Monday,Sunny,Low,No,20.0,7,5,417,3,14,High
1777,Accident,West,Afternoon,Monday,Rainy,Low,No,5.0,14,15,374,3,4,Medium
1778,Fire,West,Morning,Thursday,Sunny,Low,Yes,25.0,30,11,496,4,18,High
1779,Fire,Central,Night,Tuesday,Cloudy,Low,Yes,22.0,16,26,102,2,12,Medium
1780,Accident,South,Evening,Friday,Rainy,High,Yes,18.0,30,19,372,10,20,High
1781,Fire,Central,Afternoon,Friday,Cloudy,High,Yes,7.0,25,32,76,4,5,Medium
1782,Accident,South,Afternoon,Tuesday,Rainy,Medium,Yes,18.0,27,18,148,1,11,Medium
1783,Theft,Central,Night,Monday,Cloudy,Low,No,18.0,17,9,180,9,1,High
1784,Fire,West,Morning,Monday,Sunny,Medium,Yes,19.0,30,14,255,10,3,High
1785,Medical,Central,Afternoon,Saturday,Sunny,Medium,No,14.0,25,18,203,3,3,Medium
1786,Accident,West,Evening,Tuesday,Sunny,Low,Yes,15.0,20,16,274,5,8,High
1787,Theft,Central,Evening,Wednesday,Sunny,Medium,Yes,25.0,21,5,73,3,5,Medium
1788,Fire,Central,Evening,Tuesday,Rainy,High,Yes,15.0,6,28,92,3,11,High
1789,Theft,North,Morning,Wednesday,Rainy,High,No,18.0,30,19,125,7,20,High
1790,Fire,Central,Evening,Sunday,Sunny,High,No,3.0,20,24,54,5,7,High
1791,Fire,West,Morning,Friday,Rainy,High,No,10.0,29,28,7,3,2,Low
1792,Theft,East,Evening,Sunday,Rainy,Low,No,24.0,16,28,293,4,15,High
1793,Theft,East,Morning,Thursday,Cloudy,Medium,Yes,5.0,30,15,129,6,18,High
1794,Theft,Central,Morning,Friday,Cloudy,Medium,Yes,13.0,18,21,290,2,10,Medium
1795,Fire,North,Night,Sunday,Sunny,Low,Yes,20.0,20,26,165,10,14,High
1796,Theft,Central,Night,Monday,Sunny,High,Yes,8.0,26,4,87,5,13,High
1797,Assault,Central,Night,Thursday,Cloudy,High,No,9.0,23,19,158,3,2,Medium
1798,Theft,South,Night,Thursday,Rainy,Low,Yes,19.0,20,17,19,7,18,High
1799,Theft,West,Evening,Saturday,Cloudy,High,No,7.0,19,28,395,10,5,High
1800,Medical,East,Afternoon,Monday,Cloudy,Low,No,10.0,25,17,216,9,11,High
1801,Fire,South,Morning,Tuesday,Sunny,Low,Yes,3.0,21,25,159,6,6,High
1802,Assault,West,Evening,Wednesday,Cloudy,High,No,3.0,29,26,36,10,11,High
1803,Fire,West,Night,Thursday,Rainy,Medium,No,25.0,6,4,246,5,0,Medium
1804,Accident,North,Night,Sunday,Sunny,Medium,No,21.0,19,32,206,8,9,High
1805,Theft,West,Afternoon,Wednesday,Rainy,High,Yes,11.0,15,6,354,7,1,High
1806,Accident,Central,Night,Friday,Sunny,Medium,No,21.0,28,28,102,8,1,Medium
1807,Fire,Central,Night,Tuesday,Rainy,Low,Yes,21.0,25,26,57,2,20,High
1808,Accident,North,Afternoon,Friday,Sunny,Medium,No,3.0,10,27,304,6,14,High
1809,Medical,East,Evening,Friday,Rainy,Medium,No,10.0,7,24,219,4,9,High
1810,Accident,East,Afternoon,Wednesday,Cloudy,Medium,Yes,10.0,14,25,337,7,13,High
1811,Medical,South,Evening,Wednesday,Cloudy,Medium,No,15.0,23,19,314,5,3,Medium
1812,Medical,Central,Afternoon,Tuesday,Sunny,Low,No,16.0,13,5,295,4,8,High
1813,Fire,Central,Evening,Monday,Sunny,Low,Yes,22.0,28,34,216,9,4,High
1814,Fire,North,Night,Sunday,Sunny,Medium,No,17.0,9,7,458,1,18,High
1815,Assault,East,Evening,Thursday,Cloudy,Low,Yes,14.0,11,22,461,5,16,High
1816,Medical,West,Evening,Thursday,Sunny,Low,Yes,4.0,14,21,126,1,0,Low
1817,Theft,South,Morning,Tuesday,Cloudy,Medium,No,7.0,28,26,28,10,0,High
1818,Fire,East,Evening,Saturday,Cloudy,Medium,Yes,19.0,27,29,443,7,11,High
1819,Theft,East,Evening,Friday,Rainy,Low,No,5.0,23,17,482,9,13,High
1820,Fire,Central,Evening,Monday,Sunny,Medium,Yes,10.0,7,8,204,6,12,High
1821,Theft,South,Afternoon,Wednesday,Rainy,Medium,Yes,8.0,26,12,425,4,13,High
1822,Accident,South,Night,Saturday,Cloudy,Medium,No,23.0,8,5,209,5,6,Medium
1823,Fire,Central,Evening,Thursday,Cloudy,Low,Yes,4.0,22,24,426,9,0,High
1824,Assault,East,Afternoon,Monday,Rainy,Low,No,17.0,14,8,332,2,15,High
1825,Theft,South,Afternoon,Sunday,Cloudy,High,No,20.0,30,27,80,1,7,Low
1826,Fire,South,Afternoon,Tuesday,Cloudy,Low,Yes,8.0,19,25,201,7,10,High
1827,Medical,North,Afternoon,Tuesday,Sunny,Low,Yes,7.0,15,29,70,1,0,Low
1828,Theft,North,Night,Sunday,Rainy,Medium,Yes,16.0,19,32,102,4,8,Medium
1829,Medical,Central,Evening,Sunday,Rainy,Low,Yes,7.0,29,34,439,8,13,High
1830,Theft,South,Afternoon,Saturday,Cloudy,High,No,14.0,11,7,143,3,20,High
1831,Fire,North,Afternoon,Friday,Rainy,Medium,Yes,3.0,11,21,88,8,7,High
1832,Fire,South,Evening,Monday,Rainy,Low,No,5.0,19,14,415,10,0,High
1833,Theft,West,Night,Wednesday,Rainy,Medium,Yes,24.0,22,33,470,7,8,High
1834,Assault,East,Afternoon,Friday,Rainy,Low,No,8.0,13,7,403,10,19,High
1835,Accident,Central,Morning,Sunday,Cloudy,High,No,5.0,10,13,174,3,16,High
1836,Medical,South,Afternoon,Thursday,Sunny,High,Yes,12.0,27,20,202,7,17,High
1837,Theft,North,Morning,Monday,Cloudy,Medium,Yes,8.0,8,12,294,8,2,High
1838,Medical,North,Morning,Thursday,Sunny,Medium,No,25.0,22,30,357,4,11,High
1839,Accident,North,Evening,Saturday,Rainy,Low,No,10.0,24,13,409,1,20,High
1840,Assault,West,Evening,Tuesday,Sunny,High,No,8.0,10,13,253,2,3,Medium
1841,Fire,North,Night,Tuesday,Rainy,High,No,14.0,14,13,84,3,0,Low
1842,Theft,Central,Afternoon,Tuesday,Rainy,Medium,No,15.0,11,16,303,5,20,High
1843,Medical,Central,Evening,Monday,Rainy,Medium,Yes,12.0,21,35,450,8,0,High
1844,Medical,East,Morning,Friday,Rainy,Low,No,22.0,26,28,6,3,11,Medium
1845,Assault,South,Afternoon,Friday,Cloudy,Medium,No,25.0,10,29,132,8,19,High
1846,Accident,South,Afternoon,Wednesday,Cloudy,Low,Yes,17.0,20,34,138,4,5,Medium
1847,Fire,Central,Afternoon,Monday,Cloudy,Medium,Yes,14.0,22,9,42,7,12,High
1848,Assault,South,Morning,Tuesday,Cloudy,Medium,No,6.0,7,24,304,3,9,High
1849,Fire,West,Afternoon,Sunday,Cloudy,High,No,16.0,12,33,206,10,7,High
1850,Accident,Central,Morning,Saturday,Cloudy,High,No,15.0,7,25,22,3,13,High
1851,Theft,East,Afternoon,Saturday,Sunny,Low,Yes,6.0,12,6,100,2,6,Medium
1852,Accident,East,Morning,Saturday,Rainy,High,Yes,6.0,10,8,436,3,4,Medium
1853,Accident,North,Morning,Sunday,Cloudy,Low,No,20.0,20,29,279,7,13,High
1854,Accident,South,Morning,Monday,Rainy,Low,No,4.0,17,23,285,5,17,High
1855,Medical,East,Night,Saturday,Rainy,Medium,No,18.0,12,24,327,8,16,High
1856,Fire,East,Afternoon,Monday,Cloudy,Low,No,22.0,18,12,397,5,3,Medium
1857,Accident,North,Morning,Wednesday,Sunny,High,No,9.0,10,5,92,3,2,Medium
1858,Medical,Central,Morning,Monday,Rainy,High,No,12.0,28,35,112,9,3,High
1859,Medical,Central,Morning,Saturday,Sunny,High,Yes,21.0,24,21,423,3,13,High
1860,Assault,West,Night,Monday,Cloudy,High,Yes,3.0,6,18,377,2,17,High
1861,Medical,East,Afternoon,Friday,Rainy,Low,Yes,14.0,11,14,32,1,0,Low
1862,Accident,South,Afternoon,Friday,Cloudy,Low,No,4.0,15,15,165,1,20,High
1863,Medical,Central,Morning,Monday,Rainy,Medium,No,16.0,30,14,353,9,5,High
1864,Fire,Central,Afternoon,Sunday,Cloudy,High,No,16.0,12,18,422,3,14,High
1865,Medical,East,Morning,Saturday,Cloudy,Medium,Yes,16.0,28,9,110,4,15,High
1866,Theft,North,Morning,Tuesday,Sunny,High,Yes,10.0,18,23,233,7,3,High
1867,Theft,Central,Afternoon,Wednesday,Sunny,Medium,Yes,25.0,24,13,461,4,7,High
1868,Assault,West,Night,Thursday,Sunny,High,Yes,25.0,29,5,245,9,10,High
1869,Theft,Central,Morning,Sunday,,,Yes,,23,14,387,7,20,High
1870,Assault,North,Night,Friday,Cloudy,Low,No,17.0,24,32,319,2,4,Medium
1871,Medical,East,Evening,Saturday,Rainy,Low,Yes,20.0,25,19,215,10,18,High
1872,Medical,West,Afternoon,Friday,Rainy,High,Yes,15.0,16,29,360,3,12,High
1873,Accident,East,Afternoon,Friday,Rainy,High,No,9.0,14,14,166,3,14,High
1874,Assault,East,Night,Tuesday,Cloudy,Medium,No,12.0,9,5,392,1,14,High
1875,Assault,North,Morning,Friday,Cloudy,Medium,No,17.0,23,29,156,10,2,High
1876,Assault,East,Morning,Friday,Sunny,High,No,14.0,26,22,131,8,17,High
1877,Medical,East,Afternoon,Thursday,Cloudy,High,Yes,10.0,14,33,211,2,14,High
1878,Accident,East,Morning,Sunday,Cloudy,Low,No,20.0,5,20,150,7,18,High
1879,Assault,South,Night,Monday,Rainy,Medium,No,6.0,6,14,168,1,5,Medium
1880,Accident,Central,Evening,Wednesday,Cloudy,Low,Yes,3.0,22,15,309,9,1,High
1881,Theft,East,Night,Wednesday,Cloudy,High,Yes,21.0,22,16,285,1,17,High
1882,Medical,East,Night,Sunday,Sunny,Low,Yes,11.0,28,10,305,10,15,High
1883,Fire,North,Evening,Saturday,Rainy,High,No,3.0,6,4,404,8,11,High
1884,Theft,East,Night,Wednesday,Sunny,High,No,14.0,25,17,304,2,19,High
1885,Assault,West,Morning,Friday,Rainy,High,Yes,20.0,26,22,99,10,14,High
1886,Theft,North,Afternoon,Thursday,Rainy,High,Yes,8.0,18,6,272,2,15,High
1887,Fire,Central,Morning,Thursday,Rainy,Medium,No,12.0,14,20,119,1,8,Medium
1888,Theft,West,Afternoon,Sunday,Sunny,Low,No,14.0,10,23,287,7,12,High
1889,Accident,West,Afternoon,Tuesday,Sunny,Low,Yes,16.0,20,12,313,6,19,High
1890,Assault,North,Evening,Thursday,Rainy,Medium,No,23.0,25,22,121,6,6,High
1891,Accident,Central,Afternoon,Friday,Rainy,Medium,Yes,24.0,30,24,278,5,9,High
1892,Theft,West,Morning,Tuesday,Rainy,Medium,No,20.0,12,24,435,2,7,Medium
1893,Theft,South,Night,Tuesday,Cloudy,Low,Yes,25.0,24,7,53,4,5,Medium
1894,Assault,West,Afternoon,Thursday,Rainy,High,Yes,10.0,29,13,476,2,15,High
1895,Medical,East,Afternoon,Tuesday,Cloudy,High,No,13.0,27,24,178,10,17,High
1896,Theft,West,Morning,Friday,Rainy,Medium,No,7.0,27,24,349,3,11,High
1897,Theft,Central,Morning,Wednesday,Rainy,High,Yes,5.0,6,25,44,10,14,High
1898,Fire,East,Afternoon,Wednesday,Sunny,Medium,No,12.0,13,34,230,5,14,High
1899,Theft,East,Evening,Saturday,Cloudy,Medium,Yes,6.0,30,33,375,9,9,High
1900,Fire,West,Morning,Tuesday,Sunny,Low,Yes,9.0,6,25,149,5,19,High
1901,Medical,Central,Afternoon,Thursday,Sunny,High,No,25.0,11,19,43,7,2,Medium
1902,Fire,West,Night,Tuesday,Sunny,Medium,No,20.0,7,26,274,9,5,High
1903,Assault,East,Night,Wednesday,Cloudy,Low,No,13.0,10,11,162,3,2,Medium
1904,Accident,West,Night,Tuesday,Rainy,Medium,No,4.0,8,10,248,4,16,High
1905,Fire,Central,Night,Friday,Sunny,Medium,Yes,17.0,28,28,45,8,15,High
1906,Assault,West,Evening,Wednesday,Sunny,High,Yes,7.0,23,20,417,4,12,High
1907,Assault,South,Morning,Friday,Sunny,High,No,20.0,24,25,58,1,1,Low
1908,Medical,East,Evening,Tuesday,Cloudy,Medium,No,20.0,24,30,49,3,2,Low
1909,Medical,East,Night,Tuesday,Cloudy,Medium,No,19.0,14,33,377,5,16,High
1910,Medical,North,Morning,Tuesday,Sunny,Low,No,14.0,29,12,326,6,18,High
1911,Fire,East,Afternoon,Saturday,Cloudy,Medium,Yes,22.0,26,8,237,10,17,High
1912,Accident,East,Morning,Sunday,Rainy,Low,No,21.0,21,23,8,8,10,High
1913,Theft,South,Afternoon,Saturday,Sunny,Low,No,19.0,17,10,390,8,5,High
1914,Medical,South,Night,Sunday,Cloudy,Low,No,6.0,29,9,435,7,17,High
1915,Theft,West,Night,Friday,Sunny,Medium,No,3.0,28,14,296,6,0,Medium
1916,Fire,East,Morning,Saturday,Cloudy,Medium,Yes,16.0,23,17,287,3,13,High
1917,Fire,West,Morning,Saturday,Cloudy,Low,Yes,24.0,15,16,493,8,0,High
1918,Medical,South,Night,Wednesday,Sunny,High,No,5.0,5,19,124,10,18,High
1919,Medical,East,Morning,Sunday,Cloudy,High,Yes,16.0,6,7,63,6,7,High
1920,Fire,West,Afternoon,Thursday,Sunny,Medium,No,4.0,9,23,146,1,10,Medium
1921,Fire,East,Night,Friday,Sunny,Low,No,7.0,19,9,195,4,12,High
1922,Accident,Central,Evening,Sunday,Rainy,Low,No,4.0,27,4,409,4,19,High
1923,Assault,West,Afternoon,Friday,Rainy,High,Yes,5.0,25,25,231,5,7,High
1924,Fire,West,Morning,Saturday,Sunny,High,Yes,6.0,17,22,178,6,3,High
1925,Medical,Central,Night,Sunday,Cloudy,Medium,No,17.0,5,14,249,8,5,High
1926,Assault,East,Evening,Monday,Cloudy,High,No,12.0,10,9,176,1,7,Medium
1927,Accident,South,Evening,Friday,Cloudy,Medium,No,22.0,27,33,18,2,3,Low
